cspell,Injects actions to fix typos found by `cspell`., diagnostics.cspell code_actions.cspell
eslint,Injects actions to fix ESLint issues or ignore broken rules., code_actions.eslint
eslint_d,Injects actions to fix ESLint issues or ignore broken rules. Like ESLint but faster., code_actions.eslint_d
gitsigns,Injects code actions for Git operations at the current cursor position (stage / preview / reset hunks blame etc.)., code_actions.gitsigns
ltrs,LanguageTool-Rust (LTRS) is both an executable and a Rust library that aims to provide correct and safe bindings for the LanguageTool API., code_actions.ltrs
proselint,An English prose linter. Can fix some issues via code actions., code_actions.proselint
refactoring,The Refactoring library based off the Refactoring book by Martin Fowler., code_actions.refactoring
shellcheck,Provides actions to disable ShellCheck errors/warnings either for the current line or for the entire file., code_actions.shellcheck
statix,Lints and suggestions for the nix programming language., code_actions.statix
xo,❤️ JavaScript/TypeScript linter (ESLint wrapper) with great defaults, code_actions.xo
luasnip,Snippet engine for Neovim written in Lua., completion.luasnip
vsnip,Snippets managed by vim-vsnip., completion.vsnip
actionlint,Actionlint is a static checker for GitHub Actions workflow files., diagnostics.actionlint
alex,Catch insensitive inconsiderate writing., diagnostics.alex
ansiblelint,Linter for Ansible playbooks roles and collections., diagnostics.ansiblelint
buf,A new way of working with Protocol Buffers., diagnostics.buf
buildifier,buildifier is a tool for formatting and linting bazel BUILD WORKSPACE and .bzl files., diagnostics.buildifier
cfn_lint,Validate AWS CloudFormation yaml/json templates against the AWS CloudFormation Resource Specification, diagnostics.cfn_lint
checkmake,`make` linter., diagnostics.checkmake
chktex,`latex` semantic linter., diagnostics.chktex
clang_check,ClangCheck combines the LibTooling framework for running a Clang tool with the basic Clang diagnostics by syntax checking specific files in a fast command line interface., diagnostics.clang_check
clj_kondo,A linter for clojure code that sparks joy, diagnostics.clj_kondo
cmake_lint,Check cmake listfiles for style violations common mistakes and anti-patterns., diagnostics.cmake_lint
codespell,Codespell finds common misspellings in text files., diagnostics.codespell
commitlint,commitlint checks if your commit messages meet the conventional commit format., diagnostics.commitlint
cppcheck,A tool for fast static analysis of C/C++ code., diagnostics.cppcheck
cpplint,Cpplint is a command-line tool to check C/C++ files for style issues following Google's C++ style guide, diagnostics.cpplint
credo,Static analysis of `elixir` files for enforcing code consistency., diagnostics.credo
cspell,cspell is a spell checker for code., diagnostics.cspell
cue_fmt,Reports on formatting errors in .cue language files., diagnostics.cue_fmt
curlylint,Experimental HTML templates linting for Jinja Nunjucks Django templates Twig and Liquid., diagnostics.curlylint
deadnix,Scan Nix files for dead code., diagnostics.deadnix
djlint,✨ 📜 🪄 ✨ HTML Template Linter and Formatter., diagnostics.djlint
editorconfig_checker,A tool to verify that your files are in harmony with your `.editorconfig`., diagnostics.editorconfig_checker
erb_lint,Lint your ERB or HTML files, diagnostics.erb_lint
eslint,A linter for the JavaScript ecosystem., diagnostics.eslint
eslint_d,Like ESLint but faster., diagnostics.eslint_d
fish,Basic linting is available for fish scripts using `fish --no-execute`., diagnostics.fish
flake8,flake8 is a python tool that glues together pycodestyle pyflakes mccabe and third-party plugins to check the style and quality of Python code., diagnostics.flake8
gccdiag,gccdiag is a wrapper for any C/C++ compiler (gcc avr-gcc arm-none-eabi-gcc etc) that automatically uses the correct compiler arguments for a file in your project by parsing the `compile_commands.json` file at the root of your project., diagnostics.gccdiag
gdlint,A linter that performs a static analysis on gdscript code according to some predefined configuration., diagnostics.gdlint
gitlint,Linter for Git commit messages., diagnostics.gitlint
golangci_lint,A Go linter aggregator., diagnostics.golangci_lint
hadolint,A smarter Dockerfile linter that helps you build best practice Docker images., diagnostics.hadolint
haml_lint,Tool for writing clean and consistent HAML., diagnostics.haml_lint
jshint,JSHint is a tool that helps to detect errors and potential problems in your JavaScript code., diagnostics.jshint
jsonlint,A pure JavaScript version of the service provided at jsonlint.com., diagnostics.jsonlint
ktlint,An anti-bikeshedding Kotlin linter with built-in formatter., diagnostics.ktlint
ltrs,LanguageTool-Rust (LTRS) is both an executable and a Rust library that aims to provide correct and safe bindings for the LanguageTool API., diagnostics.ltrs
luacheck,A tool for linting and static analysis of Lua code., diagnostics.luacheck
markdownlint,Markdown style and syntax checker., diagnostics.markdownlint
markdownlint_cli2,A fast flexible configuration-based command-line interface for linting Markdown/CommonMark files with the markdownlint library, diagnostics.markdownlint_cli2
mdl,A tool to check Markdown files and flag style issues., diagnostics.mdl
misspell,Checks commonly misspelled English words in source files., diagnostics.misspell
mlint,Linter for MATLAB files, diagnostics.mlint
opacheck,Check Rego source files for parse and compilation errors., diagnostics.opacheck
perlimports,A command line utility for cleaning up imports in your Perl code, diagnostics.perlimports
php,Uses the php command-line tool's built in `-l` flag to check for syntax errors., diagnostics.php
phpcs,PHP_CodeSniffer is a script that tokenizes PHP JavaScript and CSS files to detect violations of a defined coding standard., diagnostics.phpcs
